36,287
49,380
23,329
43,391
14,213
12,339
28,383
29,352
10,248
36,368
19,303
40,361
41,318
40,323
46,244
39,328
39,268
48,324
38,206
10,360
342,192
191,153
332,174
181,118
450,166
158,168
105,198
192,118
498,111
491,162
36,198
51,155
45,188
40,162
48,160
20,182
102,159
496,140
476,144
353,101
31,234
58,245
51,208
54,233
34,228
54,236
58,211
44,185
58,247
49,209
24,204
22,172
42,168
22,158
38,154
33,184
32,167
48,160
38,198
53,158
481,111
462,115
191,148
351,105
281,118
206,128
252,190
446,183
183,184
110,131
102,112
468,143
271,112
352,173
468,152
405,199
296,134
387,143
492,107
399,145
49,240
40,379
11,351
14,352
26,204
21,399
40,392
24,242
19,203
26,389
14,249
10,329
14,281
21,248
44,226
30,305
23,382
18,299
14,311
48,220
154,191
457,117
472,130
481,137
285,114
141,123
401,178
198,126
417,144
416,193
29,195
34,166
52,192
45,152
21,174
22,185
128,191
106,155
458,110
498,129
49,215
51,213
59,206
54,225
34,224
57,212
59,183
43,184
53,248
49,210
24,204
22,172
42,168
22,158
38,154
33,184
32,167
48,160
38,198
53,158
481,111
462,115
191,148
351,105
281,118
206,128
252,190
446,183
183,184
110,131
102,112
468,143
271,112
352,173
468,152
405,199
296,134
387,143
492,107
399,145
36,287
49,380
23,329
43,391
14,213
12,339
28,383
29,352
10,248
36,368
19,303
40,361
41,318
40,323
46,244
39,328
39,268
48,324
38,206
10,360
342,192
191,153
332,174
181,118
450,166
158,168
105,198
192,118
498,111
491,162
36,198
51,155
45,188
40,162
48,160
20,182
102,159
496,140
476,144
353,101
31,234
58,245
51,208
54,233
34,228
54,236
58,211
44,185
58,247
49,209
24,204
22,172
42,168
22,158
38,154
33,184
32,167
48,160
38,198
53,158
481,111
462,115
191,148
351,105
281,118
206,128
252,190
446,183
183,184
110,131
102,112
468,143
271,112
352,173
468,152
405,199
296,134
387,143
492,107
399,145
49,240
40,379
11,351
14,352
26,204
21,399
40,392
24,242
19,203
26,389
14,249
10,329
14,281
21,248
44,226
30,305
23,382
18,299
14,311
48,220
154,191
457,117
472,130
481,137
285,114
141,123
401,178
198,126
417,144
416,193
29,195
34,166
52,192
45,152
21,174
22,185
128,191
106,155
458,110
498,129
49,215
51,213
59,206
54,225
34,224
57,212
59,183
43,184
53,248
49,210
24,204
22,172
42,168
22,158
38,154
33,184
32,167
48,160
38,198
53,158
481,111
462,115
191,148
351,105
281,118
206,128
252,190
446,183
183,184
110,131
102,112
468,143
271,112
352,173
468,152
405,199
296,134
387,143
492,107
399,145
36,287
49,380
23,329
43,391
14,213
12,339
28,383
29,352
10,248
36,368
19,303
40,361
41,318
40,323
46,244
39,328
39,268
48,324
38,206
10,360
342,192
191,153
332,174
181,118
450,166
158,168
105,198
192,118
498,111
491,162
36,198
51,155
45,188
40,162
48,160
20,182
102,159
496,140
476,144
353,101
31,234
58,245
51,208
54,233
34,228
54,236
58,211
44,185
58,247
49,209
24,204
22,172
42,168
22,158
38,154
33,184
32,167
48,160
38,198
53,158
481,111
462,115
191,148
351,105
281,118
206,128
252,190
446,183
183,184
110,131
102,112
468,143
271,112
352,173
468,152
405,199
296,134
387,143
492,107
399,145
49,240
40,379
11,351
14,352
26,204
21,399
40,392
24,242
19,203
26,389
14,249
10,329
14,281
21,248
44,226
30,305
23,382
18,299
14,311
48,220
154,191
457,117
472,130
481,137
285,114
141,123
401,178
198,126
417,144
416,193
29,195
34,166
52,192
45,152
21,174
22,185
128,191
106,155
458,110
498,129
